name,type,url,dicname
E-OBS_v21e_0.10regular,observation,/home/jovyan/shared/data/observations/eobs/v21e/grid010reg/e-obs_v21e_0.10regular.ncml,E-OBS_v21e.dic
E-OBS_v21e_0.25regular,observation,/home/jovyan/shared/data/observations/eobs/v21e/grid025reg/e-obs_v21e_0.25regular.ncml,E-OBS_v21e.dic
Daymet_v3_0.25regular,observation,/home/jovyan/shared/data/observations/daymet/v3/grid025reg/daymet_0.25_v3.ncml,Daymet_v3.dic
OBS_prcptot,observation,/home/jovyan/shared/data/ipcc-atlas/observations/pr/ncml/OBS_prcptot.ncml,FALSE
OBS_tas,observation,/home/jovyan/shared/data/ipcc-atlas/observations/pr/ncml/OBS_tas.ncml,FALSE
OBS_tasmax,observation,/home/jovyan/shared/data/ipcc-atlas/observations/pr/ncml/OBS_tasmax.ncml,FALSE
OBS_tasmin,observation,/home/jovyan/shared/data/ipcc-atlas/observations/pr/ncml/OBS_tasmin.ncml,FALSE
OBS_prsn,observation,/home/jovyan/shared/data/ipcc-atlas/observations/pr/ncml/OBS_prsns.ncml,FALSE
OBS_sfcWind,observation,/home/jovyan/shared/data/ipcc-atlas/observations/pr/ncml/OBS_sfcWind.ncml,FALSE


